Date,Close,High,Low,Open,Volume
,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS
2025-04-15,5734.5,5767.5,5605.0,5638.5,586197
2025-04-16,5754.0,5805.5,5685.0,5715.0,280947
2025-04-17,5640.0,5798.0,5596.0,5750.0,531948
2025-04-21,5891.5,5920.0,5799.0,5850.0,717346
2025-04-22,5911.5,6018.5,5823.0,5884.5,666774
2025-04-23,5924.5,5975.0,5891.5,5927.0,637067
2025-04-24,6215.5,6308.5,5953.5,5982.5,2081063
2025-04-25,6012.5,6285.0,5964.5,6240.0,964571
2025-04-28,6026.5,6125.0,5992.0,6015.0,317230
2025-04-29,6108.0,6130.0,5916.0,6055.0,640125
2025-04-30,6087.0,6136.0,6015.5,6115.5,489551
2025-05-02,6079.5,6153.0,6045.5,6080.0,957962
2025-05-05,6124.5,6208.0,6096.0,6205.5,399200
2025-05-06,6161.0,6178.5,5970.0,6110.0,344379
2025-05-07,6148.0,6170.0,6059.5,6085.0,346799
2025-05-08,5960.5,6184.0,5920.0,6172.5,364862
2025-05-09,6025.5,6055.5,5841.5,5841.5,449984
2025-05-12,5942.0,6044.0,5878.5,6035.0,705516
2025-05-13,6076.5,6147.5,5955.0,5955.5,759310
2025-05-14,6215.5,6282.5,6055.5,6100.0,576348
2025-05-15,6214.5,6259.5,6163.5,6198.5,462230
2025-05-16,6279.5,6323.0,6162.0,6239.0,556329
2025-05-19,6580.0,6705.0,6333.5,6400.0,2712326
2025-05-20,6452.5,6595.0,6433.0,6580.0,448280
2025-05-21,6552.0,6596.5,6454.0,6454.0,510445
2025-05-22,6538.0,6570.0,6458.0,6540.0,326992
2025-05-23,6483.0,6560.0,6457.0,6560.0,224119
2025-05-26,6737.0,6764.0,6592.5,6640.0,1467231
2025-05-27,6698.0,6760.5,6684.0,6725.0,294304
2025-05-28,6636.0,6750.0,6620.0,6730.0,312692
2025-05-29,6631.5,6670.5,6603.0,6645.0,364770
2025-05-30,6612.0,6667.5,6541.0,6601.5,786589
2025-06-02,6539.0,6631.0,6520.0,6614.5,283232
2025-06-03,6530.0,6600.0,6514.5,6544.0,398776
2025-06-04,6618.0,6649.5,6530.0,6550.0,407206
2025-06-05,6628.5,6679.0,6608.0,6628.0,200706
2025-06-06,6544.5,6630.0,6505.0,6630.0,361092
2025-06-09,6633.0,6654.5,6547.5,6557.5,254156
2025-06-10,6674.0,6697.0,6611.0,6644.5,288574
2025-06-11,6719.0,6766.0,6680.0,6680.0,539922
2025-06-12,6725.0,6862.5,6706.0,6719.0,647651
2025-06-13,6667.0,6720.5,6611.0,6700.0,431430
2025-06-16,6687.5,6698.0,6615.0,6632.0,166374
2025-06-17,6538.0,6702.5,6490.5,6690.0,341004
2025-06-18,6549.0,6649.0,6513.0,6548.0,447218
2025-06-19,6493.0,6566.5,6480.0,6545.0,240502
2025-06-20,6592.0,6602.5,6455.5,6500.0,560932
2025-06-23,6636.0,6664.5,6560.0,6570.0,478962
2025-06-24,6565.5,6680.0,6555.0,6680.0,270144
2025-06-25,6586.5,6607.5,6520.0,6585.0,234226
2025-06-26,6616.0,6628.0,6539.0,6589.0,404238
2025-06-27,6658.0,6694.0,6551.0,6551.0,545217
2025-06-30,6809.5,6829.0,6666.0,6680.0,599664
2025-07-01,6856.5,6875.0,6696.0,6828.5,385716
2025-07-02,6859.5,6885.5,6743.0,6856.5,437491
2025-07-03,6876.0,6940.0,6853.0,6888.0,302964
2025-07-04,6906.5,6945.0,6870.0,6880.0,243498
2025-07-07,6888.5,6931.0,6861.0,6915.0,85574
2025-07-08,6938.0,7071.5,6911.0,7002.0,531444
2025-07-09,6983.5,7009.5,6920.0,6930.0,382020
2025-07-10,6844.5,6982.5,6830.0,6960.0,183664
2025-07-11,6835.0,6905.5,6825.0,6830.0,224031
